authorID,name
1680212,Graziano  Pesole
1681398,Yi  Zhang
1687893,Ying  Li
1691343,Igor B. Rogozin
1691587,Scott V.  Edwards
1693570,Christopher Lewis Schardl
1708018,Julian  Parkhill
1710015,Don Arthur Cowan
1710360,Yves  Van de Peer
1724820,Blake C. Meyers
1724867,En-Tao  Wang
1729256,Kathleen  Marchal
1739958,Norbert  Müller
1744109,Steven L.  Salzberg
1758302,Takashi  Gojobori
1766954,Bruce D.  Walker
1768658,Just M. Vlak
1771503,Yuji  Kohara
1771588,Xiao-Long  Cui
1773482,Go  Suzuki
1779521,Ruth M.  Hall
1779626,David L. Robertson
1785477,Ádám  Dán
1800283,Alexander G Blinov
1815492,Tetsuo  Hashimoto
1816895,Peter  Kämpfer
1823498,Toru  Miura
1824294,Edward J. Feil
1832489,Alan S. Perelson
1843807,Michael J. Donoghue
1850174,Johan A. A. Nylander
1851260,Silvana M C Levis
1851638,David L.  Suarez
1853116,Scott C. Weaver
1854599,Bart J. Currie
1857782,Nobuo  Koizumi
1867785,David S. Horner
1869768,Filip A. M.  Volckaert
1870663,Kim C. Worley
1873440,Jan A. L. van Kan
1874472,John H.  Postlethwait
1880360,Masako  Takashima
1881190,Per Halkjaer  Nielsen
1885657,David B. Boyle
1887748,Manfred  Rohde
1912975,Yuzuru  Tozawa
1915637,Donald. L. Nuss
1930281,Takakazu  Kaneko
1932379,John W. Barnwell
1939517,Bikram S. Gill
1940158,Junta  Sugiyama
1942713,Gregory D.  Ebel
1942947,Hiroaki  Okamoto
1950352,Douwe  van Sinderen
1950529,Bernard  Henrissat
1961140,Bart  Hellemans
1966304,Claudine  Médigue
1966538,Masashi  Mizokami
1977803,Werner  Liesack
1978243,Toshihiro  Horii
1978283,Paul S. Keim
1978763,Mark P. Simmons
1992916,Motomi  Ito
1999355,Edward F.  DeLong
2007937,Hidetoshi  Inoko
2008593,Robin B.  Gasser
2009606,Ananias A.  Escalante
2010467,Axel  Janke
2010756,Travis C.  Glenn
2011972,Julius  Lukeš
2016266,Toshiyuki  Masuzawa
2022481,Ruiting  Lan
2023657,Steven M. Wolinsky
2025616,Roger W. Hendrix
2028042,Takafumi  Tsuboi
2033416,Jens  Stougaard
