"","author_id","name_initial","name","num_ssid_1997","num_ssid_1998","num_ssid_1999","num_ssid_2000","num_ssid_2001","num_ssid_2002","num_ssid_2003","num_ssid_2004","num_ssid_2005","num_ssid_2006","num_ssid_2007","num_ssid_2008","num_ssid_2009","num_ssid_2010","num_ssid_2011","num_ssid_2012","num_ssid_2013","num_ssid_2014","num_ssid_2015","num_ssid_2016","num_ssid_2017"
"1",1680212,"Pesole,G.","Graziano  Pesole",2,1,4,1,5,20,NA,1,25,2,15,2,3,3,1,NA,NA,3,2,NA,1
"2",1681398,"Zhang,Y.","Yi  Zhang",NA,2,NA,NA,NA,1,3,NA,3,NA,1,4,2,5,4,4,4,3,2,1,3
"3",1687893,"Li,Y.","Ying  Li",2,NA,NA,3,NA,1,5,NA,2,2,6,2,3,10,8,6,2,3,3,6,1
"4",1691343,"Rogozin,I.B.","Igor B. Rogozin",1,2,1,2,3,2,3,2,1,NA,1,NA,NA,NA,5,1,NA,1,1,1,2
"5",1691587,"Edwards,S.V.","Scott V.  Edwards",1,1,1,4,1,NA,NA,1,2,4,4,4,5,4,5,8,4,4,6,NA,1
"6",1693570,"Schardl,C.L.","Christopher Lewis Schardl",2,NA,NA,NA,2,4,1,3,4,NA,2,3,5,NA,4,2,3,3,2,NA,1
"7",1708018,"Parkhill,J.","Julian  Parkhill",NA,2,1,2,5,3,7,6,8,8,9,14,16,15,11,12,17,9,1,1,NA
"8",1710015,"Cowan,D.A.","Don Arthur Cowan",NA,1,NA,NA,1,1,NA,NA,3,11,10,11,5,2,3,6,2,2,1,2,NA
"9",1710360,"Van de Peer,Y.","Yves  Van de Peer",1,1,2,NA,NA,1,NA,1,1,NA,8,1,4,NA,4,1,1,2,1,2,2
"10",1724820,"Meyers,B.C.","Blake C. Meyers",1,4,NA,NA,1,2,NA,3,NA,NA,2,2,1,NA,3,5,NA,NA,NA,1,2
"11",1724867,"Wang,E.","En-Tao  Wang",1,2,2,1,2,4,2,1,2,7,9,17,13,5,24,7,7,9,14,9,7
"12",1729256,"Marchal,K.","Kathleen  Marchal",NA,1,NA,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,1,NA,NA,2,NA,1,NA
"13",1739958,"Muller,N.","Norbert  Müller",2,NA,NA,NA,1,NA,NA,2,1,NA,1,NA,4,2,NA,2,1,1,1,1,NA
"14",1744109,"Salzberg,S.L.","Steven L.  Salzberg",1,2,3,7,2,11,2,1,39,NA,13,9,1,5,4,1,NA,9,4,1,1
"15",1758302,"Gojobori,T.","Takashi  Gojobori",4,1,7,5,6,29,9,3,28,4,4,3,1,6,1,7,3,2,3,NA,NA
"16",1766954,"Walker,B.D.","Bruce D.  Walker",1,2,3,2,1,1,NA,4,2,4,5,7,11,2,4,5,1,5,6,3,NA
"17",1768658,"Vlak,J.M.","Just M. Vlak",8,9,4,5,4,1,2,2,5,1,3,3,NA,NA,1,NA,1,NA,1,1,1
